"","Labels","Levels","Class","Storage","NAs"
"SEQNUMC","",1,"","integer",28296
"SEQNUMHH","",1,"","integer",28296
"PDAT","",2,"","integer",0
"PROVWT_D","FINAL DUAL-FRAME PROVIDER-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",13308
"PROVWT_D_TERR","FINAL DUAL-FRAME PROVIDER-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",13012
"RDDWT_D","FINAL DUAL-FRAME RDD-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",841
"RDDWT_D_TERR","FINAL DUAL-FRAME RDD-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",0
"STRATUM","STRATUM VARIABLE FOR DUAL-FRAME VARIANCE ESTIMATION",0,"integer","integer",0
"YEAR","YEAR OF INTERVIEW",0,"integer","integer",0
"AGECPOXR","",4,"","integer",27906
"HAD_CPOX","",4,"","integer",0
"AGEGRP","",3,"","integer",0
"BF_ENDR06","DURATION OF BREASTFEEDING IN DAYS (RECODE)",0,"numeric","double",5994
"BF_EXCLR06","DURATION OF EXCLUSIVE BREAST/FORMULA FEEDING IN DAYS (RECODE)",0,"numeric","double",5354
"BF_FORMR08","",1,"","integer",22220
"BFENDFL06","",1,"","integer",28292
"BFFORMFL06","",1,"","integer",28296
"C1R","",8,"","integer",0
"C5R","",6,"","integer",0
"CBF_01","",4,"","integer",0
"CEN_REG","",4,"","integer",841
"CHILDNM","",5,"","integer",0
"CWIC_01","",5,"","integer",0
"CWIC_02","",4,"","integer",16212
"EDUC1","",6,"","integer",0
"FRSTBRN","",4,"","integer",0
"I_HISP_K","",5,"","integer",0
"INCPORAR","INCOME TO POVERTY RATIO (RECODE)",0,"numeric","double",2545
"INCPORAR_I","INCOME TO POVERTY RATIO: IMPUTED (RECODE)",0,"numeric","double",0
"INCPOV1","",4,"","integer",0
"INCQ298A","",14,"","integer",0
"LANGUAGE","",3,"","integer",0
"M_AGEGRP2","",4,"","integer",0
