"","Labels","Levels","Class","Storage","NAs"
"SEQNUMC","",1,"","integer",27592
"SEQNUMHH","",1,"","integer",27592
"PDAT","",2,"","integer",0
"PROVWT_D","FINAL DUAL-FRAME PROVIDER-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",12425
"PROVWT_D_TERR","FINAL DUAL-FRAME PROVIDER-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",12201
"RDDWT_D","FINAL DUAL-FRAME RDD-PHASE WEIGHT (EXCLUDES TERRITORIES)",0,"numeric","double",617
"RDDWT_D_TERR","FINAL DUAL-FRAME RDD-PHASE WEIGHT INCLUDING TERRITORIES",0,"numeric","double",0
"STRATUM","STRATUM VARIABLE FOR DUAL-FRAME VARIANCE ESTIMATION",0,"integer","integer",0
"YEAR","YEAR OF INTERVIEW",0,"integer","integer",0
"AGECPOXR","",4,"","integer",27273
"HAD_CPOX","",4,"","integer",0
"AGEGRP","",3,"","integer",0
"BF_ENDR06","DURATION OF BREAST FEEDING IN DAYS (RECODE)",0,"numeric","double",5975
"BF_EXCLR06","DURATION OF EXCLUSIVE BREAST/FORMULA FEEDING IN DAYS (RECODE)",0,"numeric","double",5375
"BF_FORMR08","",1,"","integer",22190
"BFENDFL06","",1,"","integer",27591
"BFFORMFL06","",1,"","integer",27592
"C1R","",8,"","integer",0
"C5R","",6,"","integer",0
"CBF_01","",4,"","integer",0
"CEN_REG","",4,"","integer",617
"CHILDNM","",5,"","integer",0
"CWIC_01","",5,"","integer",0
"CWIC_02","",4,"","integer",15139
"EDUC1","",6,"","integer",0
"FRSTBRN","",4,"","integer",0
"I_HISP_K","",5,"","integer",0
"INCPORAR","INCOME TO POVERTY RATIO (RECODE)",0,"numeric","double",2363
"INCPOV1","",4,"","integer",0
"INCQ298A","",14,"","integer",0
"INTRP","",4,"","integer",16961
"LANGUAGE","",3,"","integer",0
"M_AGEGRP","",5,"","integer",0
"MARITAL2","",2,"","integer",0
"MOBIL_I","",4,"","integer",0
"NUM_PHONE","",6,"","integer",23083
"NUM_CELLS_HH","",6,"","integer",43
"NUM_CELLS_PARENTS","",6,"","integer",70
"RACE_K","",3,"","integer",0
"RACEETHK","",4,"","integer",0
"RENT_OWN","",5,"","integer",0
"SEX","",4,"","integer",0
"ESTIAP15","",61,"","integer",0
"EST_GRANT","",56,"","integer",617
"STATE","",54,"","integer",0
"D6R","",4,"","integer",2737
"D7","",2,"","integer",9810
"N_PRVR","",4,"","integer",0
"PROV_FAC","",7,"","integer",12381
"REGISTRY","",4,"","integer",12381
"VFC_ORDER","",4,"","integer",12381
"HEP_BRTH","",2,"","integer",12574
"HEP_FLAG","",2,"","integer",27555
"P_NUHEPX","",3,"","integer",27592
"P_NUHIBX","",3,"","integer",27592
"P_NUHPHB","",3,"","integer",27592
"P_NUMDAH","",3,"","integer",27592
"P_NUMDHI","",3,"","integer",27592
"P_NUMDIH","",3,"","integer",27592
"P_NUMDTA","",3,"","integer",27592
"P_NUMDTP","",3,"","integer",27592
"P_NUMFLU","",3,"","integer",27592
"P_NUMFLUL","",3,"","integer",27592
"P_NUMFLUM","",3,"","integer",27592
"P_NUMFLUN","",3,"","integer",27592
"P_NUMHEA","",3,"","integer",27592
"P_NUMHEN","",3,"","integer",27592
"P_NUMHEP","",3,"","integer",27592
"P_NUMHG","",3,"","integer",27592
"P_NUMHHY","",3,"","integer",27592
"P_NUMHIB","",3,"","integer",27592
"P_NUMHIN","",3,"","integer",27592
"P_NUMHION","",3,"","integer",27592
"P_NUMHM","",3,"","integer",27592
"P_NUMHS","",3,"","integer",27592
"P_NUMIPV","",3,"","integer",27592
"P_NUMMCN","",3,"","integer",27592
"P_NUMMMR","",3,"","integer",27592
"P_NUMMMRX","",3,"","integer",27592
"P_NUMMMX","",3,"","integer",27592
"P_NUMMP","",3,"","integer",27592
"P_NUMMPR","",3,"","integer",27592
"P_NUMMRV","",3,"","integer",27592
"P_NUMMS","",3,"","integer",27592
"P_NUMMSM","",3,"","integer",27592
"P_NUMMSR","",3,"","integer",27592
"P_NUMOLN","",3,"","integer",27592
"P_NUMOPV","",3,"","integer",27592
"P_NUMPCV","",3,"","integer",27592
"P_NUMPCP","",3,"","integer",27592
"P_NUMPCC","",3,"","integer",27592
"P_NUMPCC7","",3,"","integer",27592
"P_NUMPCC13","",3,"","integer",27592
"P_NUMPCCN","",3,"","integer",27592
"P_NUMPCN","",3,"","integer",27592
"P_NUMPOL","",3,"","integer",27592
"P_NUMRB","",3,"","integer",27592
"P_NUMRG","",3,"","integer",27592
"P_NUMRM","",3,"","integer",27592
"P_NUMRO","",3,"","integer",27592
"P_NUMROT","",3,"","integer",27592
"P_NUMTPN","",3,"","integer",27592
"P_NUMVRC","",3,"","integer",27592
"P_NUMVRN","",3,"","integer",27592
"P_NUMVRX","",3,"","integer",27592
"P_U12VRC","",2,"","integer",12201
"P_UTD331","",2,"","integer",12201
"P_UTD431","",2,"","integer",12201
"P_UTDHEP","",2,"","integer",12201
"P_UTDHEPA1","",3,"","integer",27592
"P_UTDHEPA2","",2,"","integer",12201
"P_UTDHIB","",2,"","integer",12201
"P_UTDHIB_ROUT_S","",2,"","integer",12201
"P_UTDHIB_SHORT_S","",2,"","integer",12201
"P_UTDMCV","",2,"","integer",12201
"P_UTDMMX","",2,"","integer",12201
"P_UTDPC3","",2,"","integer",12201
"P_UTDPCV","",2,"","integer",12201
"P_UTDPCVB13","",3,"","integer",12201
"P_UTDPOL","",2,"","integer",12201
"P_UTDROT_S","",2,"","integer",12201
"P_UTDTP3","",2,"","integer",12201
"P_UTDTP4","",2,"","integer",12201
"PU431331","",2,"","integer",12201
"P_UTD431H31_ROUT_S","",2,"","integer",12201
"PU431_31","",2,"","integer",12201
"PU4313313","",2,"","integer",12201
"P_UTD431H313_ROUT_S","",2,"","integer",12201
"PU4313314","",2,"","integer",12201
"P_UTD431H314_ROUT_S","",2,"","integer",12201
"PU431_314","",2,"","integer",12201
"PUT43133","",2,"","integer",12201
"P_UTD431H3_ROUT_S","",2,"","integer",12201
"PUTD4313","",2,"","integer",12201
"P_UTD431H_ROUT_S","",2,"","integer",12201
"U1D_HEP","",3,"","integer",27592
"U2D_HEP","",3,"","integer",27592
"U3D_HEP","",3,"","integer",27592
"DDTP1","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #1",0,"integer","integer",12603
"DDTP2","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #2",0,"integer","integer",12751
"DDTP3","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #3",0,"integer","integer",12950
"DDTP4","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #4",0,"integer","integer",14206
"DDTP5","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #5",0,"integer","integer",27342
"DDTP6","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #6",0,"integer","integer",27578
"DDTP7","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #7",0,"integer","integer",27591
"DDTP8","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #8",0,"integer","integer",27591
"DDTP9","AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #9",0,"logical","logical",27592
"DFLU1","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #1",0,"integer","integer",16232
"DFLU2","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #2",0,"integer","integer",18167
"DFLU3","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #3",0,"integer","integer",21474
"DFLU4","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #4",0,"integer","integer",25903
"DFLU5","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #5",0,"integer","integer",27506
"DFLU6","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #6",0,"integer","integer",27586
"DFLU7","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #7",0,"integer","integer",27591
"DFLU8","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #8",0,"logical","logical",27592
"DFLU9","AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #9",0,"logical","logical",27592
"DHEPA1","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #1",0,"integer","integer",14107
"DHEPA2","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #2",0,"integer","integer",17401
"DHEPA3","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #3",0,"integer","integer",27514
"DHEPA4","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #4",0,"integer","integer",27591
"DHEPA5","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #5",0,"logical","logical",27592
"DHEPA6","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #6",0,"logical","logical",27592
"DHEPA7","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #7",0,"logical","logical",27592
"DHEPA8","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #8",0,"logical","logical",27592
"DHEPA9","AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #9",0,"logical","logical",27592
"DHEPB1","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #1",0,"integer","integer",12574
"DHEPB2","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #2",0,"integer","integer",12889
"DHEPB3","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #3",0,"integer","integer",13337
"DHEPB4","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #4",0,"integer","integer",22131
"DHEPB5","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #5",0,"integer","integer",27367
"DHEPB6","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #6",0,"integer","integer",27578
"DHEPB7","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #7",0,"integer","integer",27591
"DHEPB8","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #8",0,"integer","integer",27591
"DHEPB9","AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #9",0,"logical","logical",27592
"DHIB1","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #1",0,"integer","integer",12642
"DHIB2","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #2",0,"integer","integer",12844
"DHIB3","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #3",0,"integer","integer",13217
"DHIB4","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #4",0,"integer","integer",16939
"DHIB5","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #5",0,"integer","integer",27410
"DHIB6","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #6",0,"integer","integer",27584
"DHIB7","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #7",0,"integer","integer",27591
"DHIB8","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #8",0,"logical","logical",27592
"DHIB9","AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #9",0,"logical","logical",27592
"DMMR1","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #1",0,"integer","integer",13147
"DMMR2","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #2",0,"integer","integer",27267
"DMMR3","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #3",0,"integer","integer",27588
"DMMR4","AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #4",0,"logical","logical",27592
